Years,Available Area for Marsh Encroachment,Birth Rate,Births,Carbon Dioxide Released as a function of FF Consumption,Carbon in the Atmosphere,Carbon Released into the Atmosphere,Carbon Sequestration,Conversion to High Marsh,Conversion to Low Marsh,Days Recreating[Birding],Days Recreating[Hiking],Days Recreating[Marsh Walking],Days Recreating[Marsh Driving],Days Recreating[Boat Fishing],Days Recreating[Land Fishing],Days Recreating[Clamming],Days Recreating[Pleasure Boating],Days Recreating[Marsh Work],Deaths,Delay in Action Erosion Control,Delay in Action: Flood Control,Delay in Erosion Control Implementation,Delay in Flood Control Implementation High Marsh,Delay in Flood Control Implementation Low Marsh,Erosion Control Rate,Fiddler Crab Carrying Capacity,Fiddler Crab Mortality Rate,Fiddler Crabs,Flood Mitigation Rate: High Marsh,Flood Mitigation Rate: Low Marsh,Forest Converted to High Marsh,Global Fossil Fuel Consumption,High Marsh Area,High Marsh Conversion Rate,High Marsh Erosion,High Marsh Erosion Rate,High Marsh to Upland Conversion Rate,High Sea Level Rise,Horizontal Growth Rate: Low Marsh,Human Mortality Rate,Human Population,Inundation Loss Rate: Low Marsh,Low Marsh Area,Low Marsh Conversion Rate,Low Marsh Erosion,Low Marsh Erosion Rate,Low Marsh Erosion Rate: Fiddler Crabs,Low Marsh Erosion Rate: SLR,Low Marsh Growth: Fiddlers,Low Marsh Horizontal Growth,Low Sea Level Rise,Mean Days Recreating,Medium Sea Level Rise,Mortality,Mortality Rate mediated by Low Marsh Area,Policy Demand Flood Control,Policy Demand: Erosion Control,Rate of Sea Level Rise,Recruitment,Recruitment Rate,Salt Water Inundation in Low Marsh,Scenario 1,Scenario 2,Scenario 3,Sequestration Rate,Total Marsh Area,Upland Border Decay,Upland Border Decay Rate,Upland Border Extent,Vertical Growth Rate: Low Marsh
1,0,0.018,0.135,40.02338144,3196,40.02338144,22.01285979,34.875182,0.695379706,365,12.7,365,365,26,7.5,0.0011,60,131.3,0.06345,148.0556778,148.0556778,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1,0,0,0,137000,33000,0.004982169,0.027628694,8.37E-07,0.142113514,2.846363808,0.001619882,0.00846,7.5,0.000202768,7000,2.10721E-05,0.015661535,2.23736E-06,0,2.23736E-06,2.75413E-06,11.35844949,2.8326,148.0556778,2.84507057,0.00001,0,0.170530961,0.184675783,2.8326,0.34569,0.34569,1.419379291,1,0,0,0.55,40000,0.414201396,0.000172584,2400,3.040443012
1.25,0.103550349,0.018,0.135321975,40.17854275,3200.50263,40.17854275,22.09819851,34.83827095,0.869449526,365,12.70111328,365,365,26.00129882,7.500649411,0.0011,60.00259764,131.3023379,0.064115027,148.0556778,148.0556778,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.08642,0,0,0.014719542,138586.025,33008.53804,0.004981211,0.027638311,8.37E-07,0.142148649,2.85045476,0.001619938,0.00852833,7.5178875,0.0002028,6993.935902,2.63401E-05,0.015650916,2.23778E-06,0,2.23778E-06,2.99214E-06,11.35066779,2.83325,148.0565663,2.848838213,1.08642E-05,0,0.170530961,0.184675783,2.83325,0.378755797,0.348627416,1.418370691,1,0,0,0.55,40002.47395,0.414334856,0.000172647,2399.89645,3.040553765
1.5,0.203454177,0.018,0.135642406,40.33296013,3205.022716,40.33296013,22.18312807,34.80162578,1.043607753,365,12.70222744,365,365,26.00259869,7.501299343,0.0011,60.00519737,131.3046776,0.064779293,148.0556778,148.0556778,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.181106233,0,0,0.028927885,140164.4457,33017.02702,0.004980253,0.027647888,8.37E-07,0.142183784,2.854545712,0.001619994,0.008596333,7.535689237,0.000202832,6987.922858,3.16082E-05,0.015640407,2.23821E-06,0,2.23821E-06,3.25292E-06,11.34312448,2.8339,148.0574556,2.852605855,1.18111E-05,0,0.170530961,0.184675783,2.8339,0.415567269,0.351845801,1.417372064,1,0,0,0.55,40004.94988,0.414468297,0.00017271,2399.792866,3.040664518
1.75,0.29983928,0.018,0.13596129,40.48663188,3209.560174,40.48663188,22.26764753,34.7652464,1.217853607,365,12.70334248,365,365,26.00389956,7.501949778,0.0011,60.00779911,131.3070192,0.065442755,148.0556778,148.0565663,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.284995098,0,0,0.042642818,141735.2447,33025.46684,0.004979296,0.027657426,8.37E-07,0.142218919,2.858636664,0.00162005,0.008664007,7.553405015,0.000202863,6981.960881,3.68762E-05,0.015630006,2.23863E-06,0,2.23863E-06,3.53904E-06,11.33583722,2.83455,148.0583456,2.856373498,1.285E-05,0,0.170529569,0.184675783,2.83455,0.456657681,0.355376983,1.416383417,1,0,0,0.55,40007.42772,0.414601719,0.000172773,2399.689249,3.040775271
2,0.392829006,0.018,0.136278624,40.63955638,3214.114921,40.63955638,22.35175601,34.72913276,1.392186308,365,12.70445834,365,365,26.0052014,7.5026007,0.0011,60.0104028,131.3093625,0.066105371,148.0556778,148.0574556,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.399156305,0,0,0.055881519,143298.4055,33033.85744,0.004978338,0.027666923,8.38E-07,0.142254054,2.862727616,0.001620107,0.008731352,7.571034649,0.000202895,6976.049989,4.21442E-05,0.015619715,2.23905E-06,0,2.23905E-06,3.85345E-06,11.32882621,2.8352,148.0592362,2.860141141,1.39916E-05,0,0.170528177,0.184675783,2.8352,0.502657149,0.359257323,1.415404757,1,0,0,0.55,40009.90743,0.414735123,0.000172836,2399.585598,3.040886024
2.25,0.482542407,0.018,0.136594403,40.79173212,3218.686871,40.79173212,22.43545267,34.69328482,1.566605076,365,12.70557502,365,365,26.00650419,7.503252094,0.0011,60.01300838,131.3117075,0.0667671,148.0565663,148.0583456,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.524817095,0,0,0.068660568,144853.9126,33042.19873,0.00497738,0.02767638,8.38E-07,0.142289189,2.866818568,0.001620163,0.008798368,7.588577962,0.000202926,6970.190203,4.74123E-05,0.015609534,2.23947E-06,0,2.23947E-06,4.19954E-06,11.32211458,2.83585,148.0601275,2.863908783,1.52482E-05,0,0.170526784,0.184674274,2.83585,0.554314522,0.363528533,1.414436095,1,0,0,0.55,40012.38893,0.414868507,0.000172899,2399.481915,3.040996777
2.5,0.569094391,0.018,0.136908626,40.94315764,3223.275941,40.94315764,22.5187367,34.65770257,1.741109127,365,12.70669249,365,365,26.0078079,7.503903951,0.0011,60.0156158,131.3140542,0.067427901,148.0574556,148.0592362,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.663391913,0,0,0.080995975,146401.7512,33050.49064,0.004976422,0.027685798,8.38E-07,0.142324324,2.87090952,0.001620219,0.008865053,7.606034788,0.000202958,6964.38155,5.26803E-05,0.015599462,2.23989E-06,0,2.23989E-06,4.58119E-06,11.31572901,2.8365,148.0610194,2.867676426,1.66339E-05,0,0.170525389,0.184672764,2.8365,0.612525261,0.368238691,1.41347744,1,0,0,0.55,40014.87219,0.415001873,0.000172962,2399.378198,3.04110753
2.75,0.652595866,0.018,0.137221289,41.09383158,3227.882046,41.09383158,22.60160737,34.62238602,1.915697678,365,12.70781073,365,365,26.00911252,7.504556261,0.0011,60.01822504,131.3164025,0.068087732,148.0583456,148.0601275,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.81651907,0,0,0.092903195,147941.9073,33058.73312,0.004975464,0.027695175,8.38E-07,0.142359459,2.875000472,0.001620275,0.008931407,7.623404969,0.00020299,6958.624065,5.79483E-05,0.0155895,2.24031E-06,0,2.24031E-06,5.00292E-06,11.30970042,2.83715,148.0619119,2.871444068,1.81652E-05,0,0.170523994,0.184671253,2.83715,0.678367209,0.373443483,1.412528805,1,0,0,0.55,40017.35719,0.41513522,0.000173025,2399.274447,3.041218283
3,0.733153872,0.018,0.13753239,41.24375266,3232.505102,41.24375266,22.68406396,34.58733524,2.090369942,365,12.70892975,365,365,26.01041804,7.505209019,0.0011,60.02083608,131.3187525,0.068746555,148.0592362,148.0610194,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,1.986106331,0,0,0.104397148,149474.3678,33066.92609,0.004974507,0.027704512,8.38E-07,0.142394595,2.879091424,0.001620332,0.00899743,7.640688359,0.000203021,6952.917788,6.32163E-05,0.015579647,2.24074E-06,0,2.24074E-06,5.46999E-06,11.30406477,2.8378,148.062805,2.875211711,1.98611E-05,0,0.170522597,0.184669741,2.8378,0.74558945,0.375402585,1.411590202,1,0,0,0.55,40019.84388,0.415268548,0.000173088,2399.170663,3.041329036
3.25,0.810871722,0.018,0.137841927,41.38434248,3237.145024,41.38434248,22.76138836,34.55255033,2.265125134,365,12.71004953,365,365,26.01172445,7.505862223,0.0011,60.02344889,131.321104,0.069404329,148.0601275,148.0619119,0.184675783,0.170530961,0.170530961,0,0.00001,0.00001,2.172498728,0,0,0.11549224,150999.1205,33075.06951,0.004973549,0.027713809,8.38E-07,0.14242973,2.883182376,0.001620388,0.00906312,7.657884817,0.000203053,6947.262771,6.84844E-05,0.015569905,2.24116E-06,0,2.24116E-06,5.98334E-06,11.29882805,2.83845,148.0636988,2.878979353,2.1725E-05,0,0.1705212,0.184668227,2.83845,0.820149577,0.377514411,1.410661647,1,0,0,0.55,40022.33228,0.415401857,0.000173151,2399.066846,3.041439789
